Country Name,Year,UnemploymentRate,Indicator Name,Decade
Greece,1991.0,7.572,Unemployment rate (%),1990
Greece,1992.0,8.927,Unemployment rate (%),1990
Greece,1993.0,10.177,Unemployment rate (%),1990
Greece,1994.0,9.808,Unemployment rate (%),1990
Greece,1995.0,10.116,Unemployment rate (%),1990
Greece,1996.0,10.402,Unemployment rate (%),1990
Greece,1997.0,10.472,Unemployment rate (%),1990
Greece,1998.0,12.227,Unemployment rate (%),1990
Greece,1999.0,12.138,Unemployment rate (%),1990
Greece,2000.0,11.345,Unemployment rate (%),2000
Greece,2001.0,10.764,Unemployment rate (%),2000
Greece,2002.0,10.346,Unemployment rate (%),2000
Greece,2003.0,9.839,Unemployment rate (%),2000
Greece,2004.0,10.628,Unemployment rate (%),2000
Greece,2005.0,10.074,Unemployment rate (%),2000
Greece,2006.0,8.906,Unemployment rate (%),2000
Greece,2007.0,8.351,Unemployment rate (%),2000
Greece,2008.0,7.664,Unemployment rate (%),2000
Greece,2009.0,9.546,Unemployment rate (%),2000
Greece,2010.0,12.719,Unemployment rate (%),2010
Greece,2011.0,17.973,Unemployment rate (%),2010
Greece,2012.0,24.731,Unemployment rate (%),2010
Greece,2013.0,27.686,Unemployment rate (%),2010
Greece,2014.0,26.708,Unemployment rate (%),2010
Greece,2015.0,24.981,Unemployment rate (%),2010
Greece,2016.0,23.514,Unemployment rate (%),2010
Greece,2017.0,21.413,Unemployment rate (%),2010
Greece,2018.0,19.179,Unemployment rate (%),2010
Greece,2019.0,17.045,Unemployment rate (%),2010
Greece,2020.0,15.899,Unemployment rate (%),2020
Greece,2021.0,14.656,Unemployment rate (%),2020
Greece,2022.0,12.426,Unemployment rate (%),2020
Greece,2023.0,11.066,Unemployment rate (%),2020
Greece,2024.0,10.133,Unemployment rate (%),2020
